// init
S 19008c,1 miss index:<4> 
L 1900a0,8 miss index:<5> 
L 190084,4 hit 
L 190080,4 hit 

// ii==jj
// a0
L 110080,4 miss index:<4> eviction 
L 110084,4 hit 
L 110088,4 hit 
L 11008c,4 hit 
L 110090,4 hit 
L 110094,4 hit 
L 110098,4 hit 
L 11009c,4 hit 
S 150080,4 miss index:<4> eviction 
S 150100,4 miss index:<8> 
S 150180,4 miss index:<12> 
S 150200,4 miss index:<16> 
S 150280,4 miss index:<20> 
S 150300,4 miss index:<24> 
S 150380,4 miss index:<28> 
S 150400,4 miss index:<0> 

// a1
L 110100,4 miss index:<8> eviction 
L 110104,4 hit 
L 110108,4 hit 
L 11010c,4 hit 
L 110110,4 hit 
L 110114,4 hit 
L 110118,4 hit 
L 11011c,4 hit 
S 150084,4 hit 
S 150104,4 miss index:<8> eviction 
S 150184,4 hit 
S 150204,4 hit 
S 150284,4 hit 
S 150304,4 hit 
S 150384,4 hit 
S 150404,4 hit 

// a2
L 110180,4 miss index:<12> eviction 
L 110184,4 hit 
L 110188,4 hit 
L 11018c,4 hit 
L 110190,4 hit 
L 110194,4 hit 
L 110198,4 hit 
L 11019c,4 hit 
S 150088,4 hit 
S 150108,4 hit 
S 150188,4 miss index:<12> eviction 
S 150208,4 hit 
S 150288,4 hit 
S 150308,4 hit 
S 150388,4 hit 
S 150408,4 hit 

// a3
L 110200,4 miss index:<16> eviction 
L 110204,4 hit 
L 110208,4 hit 
L 11020c,4 hit 
L 110210,4 hit 
L 110214,4 hit 
L 110218,4 hit 
L 11021c,4 hit 
S 15008c,4 hit 
S 15010c,4 hit 
S 15018c,4 hit 
S 15020c,4 miss index:<16> eviction 
S 15028c,4 hit 
S 15030c,4 hit 
S 15038c,4 hit 
S 15040c,4 hit 

// a4
L 110280,4 miss index:<20> eviction 
L 110284,4 hit 
L 110288,4 hit 
L 11028c,4 hit 
L 110290,4 hit 
L 110294,4 hit 
L 110298,4 hit 
L 11029c,4 hit 
S 150090,4 hit 
S 150110,4 hit 
S 150190,4 hit 
S 150210,4 hit 
S 150290,4 miss index:<20> eviction 
S 150310,4 hit 
S 150390,4 hit 
S 150410,4 hit 

// a5
L 110300,4 miss index:<24> eviction 
L 110304,4 hit 
L 110308,4 hit 
L 11030c,4 hit 
L 110310,4 hit 
L 110314,4 hit 
L 110318,4 hit 
L 11031c,4 hit 
S 150094,4 hit 
S 150114,4 hit 
S 150194,4 hit 
S 150214,4 hit 
S 150294,4 hit 
S 150314,4 miss index:<24> eviction 
S 150394,4 hit 
S 150414,4 hit 

// a6
L 110380,4 miss index:<28> eviction 
L 110384,4 hit 
L 110388,4 hit 
L 11038c,4 hit 
L 110390,4 hit 
L 110394,4 hit 
L 110398,4 hit 
L 11039c,4 hit 
S 150098,4 hit 
S 150118,4 hit 
S 150198,4 hit 
S 150218,4 hit 
S 150298,4 hit 
S 150318,4 hit 
S 150398,4 miss index:<28> eviction 
S 150418,4 hit 

// a7
L 110400,4 miss index:<0> eviction 
L 110404,4 hit 
L 110408,4 hit 
L 11040c,4 hit 
L 110410,4 hit 
L 110414,4 hit 
L 110418,4 hit 
L 11041c,4 hit 
S 15009c,4 hit 
S 15011c,4 hit 
S 15019c,4 hit 
S 15021c,4 hit 
S 15029c,4 hit 
S 15031c,4 hit 
S 15039c,4 hit 
S 15041c,4 miss index:<0> eviction 


// ii!=jj
L 1100a0,4 miss index:<5> eviction 
L 1100a4,4 hit 
L 1100a8,4 hit 
L 1100ac,4 hit 
L 1100b0,4 hit 
L 1100b4,4 hit 
L 1100b8,4 hit 
L 1100bc,4 hit 
S 150480,4 miss index:<4> eviction 
S 150500,4 miss index:<8> eviction 
S 150580,4 miss index:<12> eviction 
S 150600,4 miss index:<16> eviction 
S 150680,4 miss index:<20> eviction 
S 150700,4 miss index:<24> eviction 
S 150780,4 miss index:<28> eviction 
S 150800,4 miss index:<0> eviction 
L 110120,4 miss index:<9> 
L 110124,4 hit 
L 110128,4 hit 
L 11012c,4 hit 
L 110130,4 hit 
L 110134,4 hit 
L 110138,4 hit 
L 11013c,4 hit 
S 150484,4 hit 
S 150504,4 hit 
S 150584,4 hit 
S 150604,4 hit 
S 150684,4 hit 
S 150704,4 hit 
S 150784,4 hit 
S 150804,4 hit 
L 1101a0,4 miss index:<13> 
L 1101a4,4 hit 
L 1101a8,4 hit 
L 1101ac,4 hit 
L 1101b0,4 hit 
L 1101b4,4 hit 
L 1101b8,4 hit 
L 1101bc,4 hit 
S 150488,4 hit 
S 150508,4 hit 
S 150588,4 hit 
S 150608,4 hit 
S 150688,4 hit 
S 150708,4 hit 
S 150788,4 hit 
S 150808,4 hit 
L 110220,4 miss index:<17> 
L 110224,4 hit 
L 110228,4 hit 
L 11022c,4 hit 
L 110230,4 hit 
L 110234,4 hit 
L 110238,4 hit 
L 11023c,4 hit 
S 15048c,4 hit 
S 15050c,4 hit 
S 15058c,4 hit 
S 15060c,4 hit 
S 15068c,4 hit 
S 15070c,4 hit 
S 15078c,4 hit 
S 15080c,4 hit 
L 1102a0,4 miss index:<21> 
L 1102a4,4 hit 
L 1102a8,4 hit 
L 1102ac,4 hit 
L 1102b0,4 hit 
L 1102b4,4 hit 
L 1102b8,4 hit 
L 1102bc,4 hit 
S 150490,4 hit 
S 150510,4 hit 
S 150590,4 hit 
S 150610,4 hit 
S 150690,4 hit 
S 150710,4 hit 
S 150790,4 hit 
